advanced,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
collocation,/ˌkɒləˈkeɪʃn/,noun,kết hợp từ,a combination of words in a language that happens very often and more frequently than would happen by chance,Make a mistake is a common collocation in English.,Make a mistake là một kết hợp từ phổ biến trong tiếng Anh.,Learning collocations can make your English sound more natural.,Học các kết hợp từ có thể làm cho tiếng Anh của bạn nghe tự nhiên hơn.,B2,,,,,_____________ is a common collocation in English.,Learning _____________ can make your English sound more natural.,touchscreen,Màn hình cảm ứng,recall,"Nhớ lại, hồi tưởng",disrespectful,thiếu tôn trọng,approve,"Chấp thuận, phê duyệt.",transfer,"Chuyển (cuộc gọi), điều chuyển (nhân sự)",Collocation: which words go together
raise,/reɪz/,verb,"nâng lên, tăng lên",to lift or move something to a higher level,They worked hard to raise their children.,Họ đã làm việc chăm chỉ để nuôi dưỡng con cái.,Please raise your hand if you have a question.,Hãy giơ tay nếu bạn có câu hỏi.,B1,,,,,They worked hard to _____________ their children.,Please _____________ your hand if you have a question.,mechanical,"Cơ khí, thuộc về máy móc",pursue,"truy đuổi, theo đuổi",grant,"Khoản trợ cấp, tài trợ.",self-employed,tự làm chủ,acknowledge,thừa nhận,Collocation: which words go together
click,/klɪk/,verb,nhấp chuột,to press one of the buttons on a mouse,We met at a party and clicked immediately.,Chúng tôi gặp nhau ở một bữa tiệc và thân nhau ngay lập tức.,I knew we would be good friends because we clicked from our very first conversation.,Tôi biết chúng tôi sẽ là bạn tốt vì ngay từ buổi nói chuyện đầu tiên đã rất hợp nhau.,A1,,,,,We met at a party and _____________ immediately.,I knew we would be good friends because we _____________ from our very first conversation.,national park,vườn quốc gia,crush,sự say mê (yêu đơn phương),social,Thuộc về xã hội,head,"đi về hướng, lãnh đạo",crackdown,"Cuộc đàn áp, trấn áp (mạnh tay)",Collocation: which words go together
wrong,/rɔːŋ/,adjective,sai,not correct or true,I am afraid you have the wrong number.,Tôi e rằng bạn đã gọi sai số.,He realized he had made the wrong decision.,Anh ấy nhận ra mình đã đưa ra quyết định sai lầm.,A2,,,,,I am afraid you have the _____________ number.,He realized he had made the _____________ decision.,freshman,sinh viên năm nhất,professor,Giáo sư (đại học),talkative,"hay nói, hoạt ngôn",race,"đua, chạy nhanh",currency,"tiền tệ, đồng tiền",Collocation: which words go together
pointless,/pɔɪntləs/,adjective,vô nghĩa,having no purpose,It is pointless to argue with him.,Thật vô nghĩa khi tranh cãi với anh ta.,Arguing about who is to blame at this point is completely pointless.,Tranh cãi về việc ai là người có lỗi vào thời điểm này là hoàn toàn vô nghĩa.,B2,,,,,It is _____________ to argue with him.,Arguing about who is to blame at this point is completely _____________.,gather,"tập hợp, thu thập",deluxe,"cao cấp, sang trọng",cloud,đám mây,past,quá khứ,will,sẽ (tương lai),Collocation: which words go together
unacceptable,/ˌʌn.əkˈsep.tə.bəl/,adjective,Không thể chấp nhận được.,So bad that you think it should not be allowed.,Such behavior is totally unacceptable in a civilized society.,Hành vi như vậy là hoàn toàn không thể chấp nhận được trong một xã hội văn minh.,His rude behavior at the dinner party was completely unacceptable.,Hành vi thô lỗ của anh ta tại bữa tiệc tối là hoàn toàn không thể chấp nhận được.,B2,,,,,Such behavior is totally _____________ in a civilized society.,His rude behavior at the dinner party was completely _____________.,nutritious,"bổ dưỡng, giàu dinh dưỡng",trainee,"Thực tập sinh, người đang được đào tạo",decisive,quyết đoán,stride,bước tiến,loyalty,Lòng trung thành,Collocation: which words go together
lost,/lɒst/,adjective,"lạc đường, bị lạc","unable to find your way, not knowing where you are",We got lost in the narrow streets of the old town.,Chúng tôi bị lạc trong những con phố nhỏ của phố cổ.,The company lost a lot of money last year.,Công ty đã mất nhiều tiền năm ngoái.,A2,,,,,We got _____________ in the narrow streets of the old town.,The company _____________ a lot of money last year.,inability,"sự bất lực, không có khả năng",grill,nướng (trên vỉ hoặc dưới nhiệt cao),savory,"Mặn, đậm đà (không ngọt)",strongly,"Mạnh mẽ, một cách quyết liệt",intervention,sự can thiệp,Collocation: which words go together
ridiculous,/rɪˈdɪkjələs/,adjective,"lố bịch, nực cười, vô lý",very silly or unreasonable,It's ridiculous to expect a two-year-old to be able to read.,Thật là vô lý khi mong đợi một đứa trẻ hai tuổi có thể đọc được.,"You look ridiculous in that giant, fluffy hat! Everyone is staring.","Trông bạn thật lố bịch, nực cười, vô lý trong cái mũ to sụ, lông xù đó! Mọi người đang nhìn kìa.",B1,,,,,It's _____________ to expect a two-year-old to be able to read.,"You look _____________ in that giant, fluffy hat! Everyone is staring.",fee,"Lệ phí, phí dịch vụ",crowd,đám đông,rule of thumb,quy tắc kinh nghiệm,objective,khách quan,inheritance,tài sản thừa kế,Collocation: which words go together
useless,/ˈjuːs.ləs/,adjective,"vô dụng, không có ích",of no use; not working or not achieving what is needed,This broken knife is useless.,Con dao hỏng này vô dụng rồi.,This old radio is completely useless.,Chiếc đài cũ này hoàn toàn vô dụng.,B1,,,,,This broken knife is _____________.,This old radio is completely _____________.,protest,sự phản đối,praise,"khen ngợi, tán dương",impersonal,"khách quan, không có cảm xúc cá nhân",nuclear family,gia đình hạt nhân,unacceptable,Không thể chấp nhận được.,Collocation: which words go together
visit,/ˈvɪzɪt/,verb,"Thăm, đến thăm",to go to see a person or place for a period of time,The manager will visit the branch office next week.,Quản lý sẽ thăm văn phòng chi nhánh vào tuần tới.,We had a visit from the auditors.,Chúng tôi đã có một chuyến thăm từ các kiểm toán viên. (n),A2,,,,,The manager will _____________ the branch office next week.,We had a _____________ from the auditors.,invest,Đầu tư,cooker,"bếp, lò nấu",get up to,"làm (việc gì đó, đặc biệt là đáng ngạc nhiên hoặc khó chịu)",hurt,"làm đau, làm bị thương",component,thành phần,Collocation: which words go together
naive,/naɪˈiːv/,Adjective,"ngây thơ, khờ dại","lacking experience of life, knowledge or good judgment and too willing to believe that people are honest",His naive approach to business caused problems.,Cách tiếp cận ngây thơ trong kinh doanh gây rắc rối.,Her naive belief that everyone works hard led to her being taken advantage of.,Niềm tin ngây thơ rằng ai cũng làm việc chăm chỉ đã khiến cô ấy bị lợi dụng.,B2,,,,,His _____________ approach to business caused problems.,Her _____________ belief that everyone works hard led to her being taken advantage of.,smog,sương khói,common era,Công Nguyên (cách gọi trung tính),coincide,trùng khớp,meet,"Gặp gỡ (công việc); Đáp ứng (yêu cầu, tiêu chuẩn)",deposit,"trầm tích, mỏ (khoáng sản)",Collocation: which words go together
distasteful,dɪsˈteɪstfl,adjective,khó chịu,unpleasant,I found his comments distasteful.,Tôi thấy những bình luận của anh ấy khó chịu.,The joke was distasteful.,Trò đùa thật phản cảm.,C1,,,,,I found his comments _____________.,The joke was _____________.,tabby,mèo mướp,heliport,sân đỗ trực thăng,informant,người cung cấp thông tin,condolence,lời chia buồn,the thing is,vấn đề là,Collocation: which words go together
fatuous,ˈfætʃuəs,adjective,ngu ngốc,silly,He made a fatuous comment.,Anh ấy đã đưa ra một bình luận ngớ ngẩn.,The argument was fatuous.,Lập luận thật ngu ngốc.,C1,,,,,He made a _____________ comment.,The argument was _____________.,Viking,người Viking,monocycle,xe đạp một bánh,leisurely,thong thả,congeal,"đông lại, đặc lại",thingummy,cái gì đó,Collocation: which words go together
rightly,ˈraɪtli,adverb,đúng đắn,correctly,She rightly pointed out the mistake.,Cô ấy đã đúng đắn chỉ ra sai lầm.,He was rightly praised.,Anh ấy đã được khen ngợi chính đáng.,B2,,,,,She _____________ pointed out the mistake.,He was _____________ praised.,do out,trang trí,monograph,chuyên khảo,miserly,keo kiệt,eject,tống ra,umpteen,rất nhiều,Collocation: which words go together
swiftly,ˈswɪftli,adverb,nhanh lẹ,quickly,He swiftly completed the task.,Anh ấy đã hoàn thành nhiệm vụ một cách nhanh lẹ.,The government acted swiftly.,Chính phủ đã hành động mau lẹ.,B2,,,,,He _____________ completed the task.,The government acted _____________.,look out for,tìm kiếm,motel,nhà nghỉ,moisten,làm ẩm,overnight,chỉ trong một đêm,whatchamacallit,cái gì đó,Collocation: which words go together
disgusting,/dɪsˈɡʌstɪŋ/,Adjective,"kinh tởm, đáng ghê tởm (trong công việc: tồi tệ, đáng phẫn nộ)",Extremely unpleasant; unacceptable and shocking.,The soup had a disgusting slimy texture.,Món súp có kết cấu nhầy nhụa kinh tởm.,It is disgusting how the management ignored the safety complaints.,Thật đáng phẫn nộ khi ban quản lý đã phớt lờ các khiếu nại về an toàn.,B1,,,,,The soup had a _____________ slimy texture.,It is _____________ how the management ignored the safety complaints.,transfer,"Chuyển (cuộc gọi), điều chuyển (nhân sự)",ultimately,"cuối cùng, suy cho cùng",besiege,"bao vây, bủa vây",high school,trường trung học (cấp 3),have an eye for,có con mắt tinh đời,Collocation: which words go together
broad,/brɔːd/,Adjective,"rộng, bao quát, tổng thể",wide; including a great variety of people or things,He has a broad knowledge of history.,Anh ấy có kiến thức rộng về lịch sử.,We need a broad overview of the companys financial health.,Chúng ta cần một cái nhìn tổng thể về sức khỏe tài chính của công ty.,B2,,,,,He has a _____________ knowledge of history.,We need a _____________ overview of the companys financial health.,recover,"phục hồi, thu hồi (lại)",go,Đi; trở nên (mang nghĩa chuyển),stiff,"cứng; khó khăn, mạnh mẽ",reign of terror,thời kỳ khủng bố,settle in,"ổn định, hòa nhập",Collocation: which words go together
reputation,ˌrepjuˈteɪʃn,noun,"Danh tiếng, thanh danh","The opinion that people have about what somebody or something is like, based on what has happened in the past",The company has a reputation for producing high-quality products.,Công ty có danh tiếng về việc sản xuất các sản phẩm chất lượng cao.,A good online reputation is crucial for modern businesses.,Một danh tiếng trực tuyến tốt là rất quan trọng đối với các doanh nghiệp hiện đại.,B2,,,,,The company has a _____________ for producing high-quality products.,A good online _____________ is crucial for modern businesses.,rehearsal,buổi diễn tập,delighted,"vui mừng, hân hoan",subsequently,"sau đó, tiếp theo",with regard to,liên quan đến,asylum,bệnh viện tâm thần,Collocation: which words go together
article,/ˈɑːtɪkl/,noun,mạo từ,"(grammar) any of the words a, an, or the used before nouns",She wrote an article for the company newsletter.,Cô ấy đã viết một bài báo cho bản tin nội bộ của công ty.,Please ensure you use the correct article before countable nouns.,Vui lòng đảm bảo bạn sử dụng mạo từ đúng trước danh từ đếm được.,A1,,,,,She wrote an _____________ for the company newsletter.,Please ensure you use the correct _____________ before countable nouns.,artificial intelligence,Trí tuệ nhân tạo,acknowledge,thừa nhận,alarmed,"lo lắng, hoảng hốt",approval,"Sự chấp thuận, sự tán thành.",seek,"Tìm kiếm (việc làm, lời khuyên)",Collocation: which words go together
quickly,/ˈkwɪkli/,adverb,"nhanh chóng, mau lẹ",at a fast speed; without delay,She walks very quickly.,Cô ấy đi bộ rất nhanh.,We need to get this done as quickly as possible.,Chúng ta cần hoàn thành việc này càng nhanh càng tốt.,A1,,,,,She walks very _____________.,We need to get this done as _____________ as possible.,essential,"thiết yếu, cốt yếu",subject matter,"Chủ đề, nội dung",revolution,"Cuộc cách mạng, cuộc đảo chính",modest,"Khiêm tốn, giản dị",bounce,"nảy lên, bật lên",Collocation: which words go together
opponent,/əˈpəʊ.nənt/,noun,đối thủ,"a person that you are playing or fighting against in a game, competition, argument, etc.",He knocked his opponent out in the third round.,Anh ta đánh bại đối thủ của mình ở hiệp thứ ba.,She is a tough opponent on the court.,Cô ấy là một đối thủ khó nhằn trên sân.,B1,,,,,He knocked his _____________ out in the third round.,She is a tough _____________ on the court.,red,màu đỏ (tóc),healthcare,"dịch vụ chăm sóc sức khỏe, y tế",eager,"háo hức, nhiệt tình",malnutrition,Tình trạng suy dinh dưỡng,inherit,thừa kế,Collocation: which words go together
fast,/fæst/,adjective,nhanh,moving or able to move quickly,We need a fast response to the client's inquiry.,Chúng ta cần phản hồi nhanh cho yêu cầu của khách hàng.,The company is experiencing fast growth.,Công ty đang trải qua sự tăng trưởng nhanh chóng.,B2,,,,,We need a _____________ response to the client's inquiry.,The company is experiencing _____________ growth.,download,Tải xuống,cleaner,"Nhân viên dọn dẹp, lao công",quiet,"ít nói, yên tĩnh",mind,"phiền, bận tâm, ngại",saving,"sự tiết kiệm, khoản tiết kiệm",Collocation: which words go together
FALSE,/fɔːls/,adjective,sai,not true or correct,The advertisement contained false information.,Quảng cáo chứa thông tin sai sự thật.,He gave a false name at the reception.,Anh ta đã đưa tên giả ở quầy lễ tân.,B1,,,,,The advertisement contained _____________ information.,He gave a _____________ name at the reception.,upload,Tải lên,drought,Hạn hán,tough,"cứng rắn, kiên cường",nervous,"Hồi hộp, lo lắng, bồn chồn",borrow,"mượn, vay",Collocation: which words go together
appalling,/əˈpɔːlɪŋ/,tính từ,"kinh khủng, tồi tệ, gây sốc","shocking, extremely bad",The conditions in the factory were appalling.,Điều kiện trong nhà máy thật tồi tệ.,The documentary revealed the appalling scale of deforestation in the region.,Bộ phim tài liệu đã tiết lộ quy mô kinh khủng của nạn phá rừng trong khu vực.,B2,,,,,The conditions in the factory were _____________.,The documentary revealed the _____________ scale of deforestation in the region.,slaughter,việc giết thịt,plagiarism,sự đạo văn,etiquette,"nghi thức, phép xã giao",duration,"khoảng thời gian, thời lượng",stove,"bếp lò, bếp",Collocation: which words go together
formidable,/fɔːˈmɪd.ə.bəl/,adj,đáng gờm,causing fear/respect,The team faced formidable opponents.,Đội gặp phải đối thủ đáng gờm.,The team faces a formidable opponent in the semi-finals; they are the defending champions.,Đội bóng phải đối mặt với một đối thủ đáng gờm ở vòng bán kết; họ là nhà đương kim vô địch.,B2,,,,,The team faced _____________ opponents.,The team faces a _____________ opponent in the semi-finals; they are the defending champions.,Proceed,Tiến hành,deplete,sụt giảm,bustling,"nhộn nhịp, hối hả",etiquette,"nghi thức, phép xã giao",time-consuming,tốn thời gian,Collocation: which words go together
strongly,/ˈstrɒŋli/,Adverb,"Mạnh mẽ, một cách quyết liệt",In a powerful way that is easy to notice,I strongly advise you to see a doctor.,Tôi khuyên bạn một cách mạnh mẽ là nên đi gặp bác sĩ.,I strongly advise you to get a second medical opinion.,Tôi tha thiết khuyên bạn nên đi khám thêm một ý kiến y tế khác.,B1,,,,,I _____________ advise you to see a doctor.,I _____________ advise you to get a second medical opinion.,privatization,sự tư nhân hóa,wiry,(Người/Động vật) Gầy nhưng rắn chắc.,misuse,sử dụng sai,ordeal,thử thách khắc nghiệt,portrayal,sự miêu tả,Collocation: which words go together
exhausted,/ɪɡˈzɔːstɪd/,adjective,kiệt sức,extremely tired,She was too exhausted to sleep.,Cô ấy quá kiệt sức để ngủ.,"After the marathon, I was completely exhausted.","Sau cuộc chạy marathon, tôi hoàn toàn kiệt sức.",B1,,,,,She was too _____________ to sleep.,"After the marathon, I was completely _____________.",congested,"Đông nghẹt, tắc nghẽn",affection,"tình cảm, sự yêu mến",Consideration,Sự cân nhắc,incidence,tỷ lệ xảy ra,incompetent,bất tài,Collocation: which words go together
impossible,/ɪmˈpɒsəbl/,adjective,Không thể,that cannot happen or be done; very difficult to deal with,It is impossible to meet such a tight deadline.,Không thể đáp ứng một thời hạn chặt chẽ như vậy.,The demands of the client are impossible.,Các yêu cầu của khách hàng là bất khả thi.,A2,,,,,It is _____________ to meet such a tight deadline.,The demands of the client are _____________.,break out,Trốn thoát (khỏi nhà tù),go off,"bị hỏng, ôi thiu (thức ăn, đồ uống)",context,Bối cảnh,manageable,"có thể quản lý được, có thể kiểm soát được",performance,Hiệu suất,Collocation: which words go together
depressed,/dɪˈprest/,adjective,"chán nản, suy sụp","very unhappy, often for a long period of time",She felt very depressed after hearing the bad news.,Cô ấy cảm thấy rất chán nản sau khi nghe tin xấu.,She became severely depressed after losing her job.,Cô ấy trở nên suy sụp trầm trọng sau khi mất việc.,B1,,,,,She felt very _____________ after hearing the bad news.,She became severely _____________ after losing her job.,set out,"lên đường, khởi hành",impersonal,"khách quan, không có cảm xúc cá nhân",be over the moon,hạnh phúc tột cùng,context,Bối cảnh,relaxing,thư giãn (mang tính chất),Collocation: which words go together
utterly,/ˈʌt.ə.li/,Adverb,"hoàn toàn, hết sức",completely; absolutely,The instructions were utterly confusing and hard to follow.,Các hướng dẫn hoàn toàn khó hiểu và khó làm theo.,We were utterly shocked by the sudden resignation of the director.,Chúng tôi đã hết sức sốc trước sự từ chức đột ngột của giám đốc.,C1,,,,,The instructions were _____________ confusing and hard to follow.,We were _____________ shocked by the sudden resignation of the director.,enrich,"làm giàu thêm, cải thiện chất lượng",before Christ,trước Công Nguyên,conform,"tuân thủ, phù hợp (với quy tắc, chuẩn mực)",fluctuate,"dao động, biến động",offshore,ngoài khơi,Collocation: which words go together
dismal,/ˈdɪzməl/,adjective,"ảm đạm, u ám; tồi tệ.",causing a mood of gloom or depression; of a very low quality.,"The weather was dismal, with grey skies and rain all day.","Thời tiết thật ảm đạm, với bầu trời xám xịt và mưa suốt ngày.","The team gave a dismal performance, losing the match by a huge margin.","Đội đã có một màn trình diễn tồi tệ, thua trận với tỷ số cách biệt lớn.",C1,,,,,"The weather was _____________, with grey skies and rain all day.","The team gave a _____________ performance, losing the match by a huge margin.",linguistic,(thuộc) ngôn ngữ học,underestimate,"đánh giá thấp, coi thường",controversy,"sự tranh luận, cuộc tranh cãi gây nhiều ý kiến trái chiều",ratio,tỷ lệ,consumption,"sự tiêu thụ, mức tiêu thụ",Collocation: which words go together
pay dividends,ˌpeɪ ˈdɪvɪdendz,phrase,mang lại kết quả tốt,to be beneficial,Hard work will pay dividends in the future.,Làm việc chăm chỉ sẽ mang lại kết quả tốt trong tương lai.,The investment is starting to pay dividends.,Khoản đầu tư bắt đầu sinh lời.,C1,,,,,Hard work will _____________ in the future.,The investment is starting to _____________.,lookout,trạm gác,obstetrics,khoa sản,occupant,người cư ngụ,procreate,sinh đản,whatnot,những thứ linh tinh,Metaphor: seeing the light
launch,/lɔːntʃ/,verb,Phóng,"To send a spacecraft, rocket, or missile into the air or into space",The company will launch a new product next month.,Công ty sẽ ra mắt một sản phẩm mới vào tháng tới.,The company plans to launch its new smartphone model next month.,Công ty dự định sẽ khởi động mẫu điện thoại thông minh mới của mình vào tháng tới.,B1,,,,,The company will _____________ a new product next month.,The company plans to _____________ its new smartphone model next month.,compulsory,bắt buộc,journalism,"nghề báo, báo chí",tiptoe,"Đi nhón chân, rón rén",rehearsal,buổi diễn tập,subsequently,"sau đó, tiếp theo",Metaphor: seeing the light
strategy,/ˈstræt.ə.dʒi/,noun,Chiến lược,A plan that is intended to achieve a particular purpose.,The general’s strategy was to divide the enemy forces.,Chiến lược của vị tướng là chia cắt lực lượng đối phương.,Our marketing strategy needs to be revised.,Chiến lược tiếp thị của chúng ta cần được sửa đổi.,B2,,,,,The general’s _____________ was to divide the enemy forces.,Our marketing _____________ needs to be revised.,dawn,bình minh,economic,Thuộc về kinh tế.,cereal,Ngũ cốc,touchscreen,Màn hình cảm ứng,disrespectful,thiếu tôn trọng,Metaphor: seeing the light
marketing,/ˈmɑːkɪtɪŋ/,noun,"Tiếp thị, marketing","The activity of presenting, advertising and selling a company's products or services.",She has a degree in marketing from a top university.,Cô ấy có bằng tiếp thị từ một trường đại học hàng đầu.,The company's marketing strategy focuses heavily on social media influencers.,Chiến lược tiếp thị của công ty tập trung mạnh vào những người có ảnh hưởng trên mạng xã hội.,B1,,,,,She has a degree in _____________ from a top university.,The company's _____________ strategy focuses heavily on social media influencers.,upset,"làm ai lo lắng, buồn, tức giận",fabric,Chất liệu vải,congress,"Quốc hội (Mỹ), đại hội",lively,"Sôi nổi, hoạt bát",pregnant,"có thai, mang thai",Metaphor: seeing the light
campaign,/kæmˈpeɪn/,noun,Chiến dịch,organized activities to achieve a goal,The campaign to capture the city lasted several months.,Chiến dịch đánh chiếm thành phố đã kéo dài vài tháng.,The general planned a strategic campaign to reclaim the occupied territories.,Vị tướng đã lên kế hoạch cho một chiến dịch chiến lược để giành lại các vùng lãnh thổ bị chiếm đóng.,B1,,,,,The _____________ to capture the city lasted several months.,The general planned a strategic _____________ to reclaim the occupied territories.,cover,"che, phủ, bao phủ",petition,đơn (pháp lý),mouth,miệng,colorful,"nhiều màu sắc, sặc sỡ",fair,công bằng,Metaphor: seeing the light
tactic,/ˈtæk.tɪk/,n,Chiến thuật,Planned action to achieve a goal,Their marketing tactic increased sales by 30%.,Chiến thuật marketing của họ tăng doanh thu 30%.,The general's brilliant tactic allowed his smaller army to defeat a much larger force.,Chiến thuật xuất sắc của vị tướng đã cho phép đội quân nhỏ hơn của ông đánh bại một lực lượng lớn hơn nhiều.,B2,,,,,Their marketing _____________ increased sales by 30%.,The general's brilliant _____________ allowed his smaller army to defeat a much larger force.,flora,hệ thực vật,endeavor,"nỗ lực, cố gắng",outweigh,"quan trọng hơn, có trọng lượng hơn",sophomore,sinh viên năm hai,alternative,Sự lựa chọn,Metaphor: seeing the light
advertising,/ˈædvətaɪzɪŋ/,noun,ngành quảng cáo,The activity of producing advertisements,She works in advertising.,Cô ấy làm việc trong ngành quảng cáo.,She works in the advertising industry and creates catchy slogans.,Cô ấy làm việc trong ngành quảng cáo và tạo ra những khẩu hiệu hấp dẫn.,B1,,,,,She works in _____________.,She works in the _____________ industry and creates catchy slogans.,solidify,đông cứng lại,irritation,"Sự khó chịu, tức giận; sự kích ứng",Congestion,Sự tắc nghẽn,manual,Thủ công,appalling,"kinh khủng, tồi tệ, gây sốc",Metaphor: seeing the light
blow hot and cold,ˌbləʊ ˌhɒt ən ˈkəʊld,phrase,sáng nắng chiều mưa,to change opinions,He's been blowing hot and cold about the proposal.,Anh ấy sáng nắng chiều mưa về đề xuất.,She blows hot and cold on the subject.,Cô ấy thay đổi ý định liên tục về chủ đề này.,C1,,,,,He's been _____________ about the proposal.,She _____________ on the subject.,outrun,chạy nhanh hơn,retroactive,có hiệu lực hồi tố,redden,làm đỏ lên,proliferate,nảy nở,a bit,"một chút, hơi",Metaphor: seeing the light
cast light on,ˌkɑːst ˈlaɪt ɒn,phrase,làm sáng tỏ,to clarify,The study casts light on the problem of poverty.,Nghiên cứu làm sáng tỏ vấn đề nghèo đói.,His explanation casts light on a complex topic.,Lời giải thích của anh ấy giải thích một chủ đề phức tạp.,C1,,,,,The study _____________ the problem of poverty.,His explanation _____________ a complex topic.,setup,"cách bố trí, sự thiết lập",technophobia,chứng sợ công nghệ,sweeten,làm ngọt,underfoot,"dưới chân, vướng víu dưới chân",along the lines of,tương tự như,Metaphor: seeing the light
cold-hearted,ˌkəʊld ˈhɑːtɪd,adjective,tàn nhẫn,cruel,He is a cold-hearted person.,Anh ấy là một người tàn nhẫn.,I can't believe she was so cold-hearted.,Tôi không thể tin cô ấy lại lạnh lùng như vậy.,C1,,,,,He is a _____________ person.,I can't believe she was so _____________.,upend,đảo lộn,telepathic,ngoại cảm,woolen,"bằng len, làm từ len",underhand,lén lút,dollop,một khối nhỏ,Metaphor: seeing the light
dim,dɪm,adjective,kém thông minh,stupid,He's not very bright; he's a bit dim.,Anh ấy không thông minh lắm; anh ấy hơi tối dạ.,I think he's dim.,Tôi nghĩ anh ấy kém thông minh.,B2,,,,,He's not very bright; he's a bit _____________.,I think he's _____________.,breakout,"sự bùng nổ, sự vượt ngục",webinar,hội thảo trực tuyến,age-related,liên quan đến tuổi tác,understaffed,thiếu nhân sự,give or take,"xấp xỉ, cộng trừ",Metaphor: seeing the light
have an eye for,ˌhæv ən ˈaɪ fə(r),phrase,có con mắt tinh đời,to be good at noticing,She has a good eye for detail.,Cô ấy có một con mắt tinh đời với chi tiết.,He has an eye for color.,Anh ấy có khiếu về màu sắc.,C1,,,,,She has a good _____________ detail.,He has an _____________ color.,moist,ẩm ướt,hammock,cái võng,avoidable,có thể tránh được,upturn,sự khởi sắc,smattering,một lượng nhỏ,Metaphor: seeing the light
hotheaded,ˌhɒtˈhedɪd,adjective,nóng nảy,impulsive,He is a hotheaded young man.,Anh ấy là một người đàn ông trẻ nóng nảy.,His hotheaded response was not appropriate.,Phản ứng nóng nảy của anh ấy không phù hợp.,C1,,,,,He is a _____________ young man.,His _____________ response was not appropriate.,topic,"đề tài, chủ đề thảo luận",mumps,bệnh quai bị,bedridden,phải nằm liệt giường,e-commerce,thương mại điện tử,smidgen,một chút xíu,Metaphor: seeing the light
keep an eye on,ˌkiːp ən ˈaɪ ɒn,phrase,để mắt tới,to watch,Can you keep an eye on the kids?,Bạn có thể để mắt tới bọn trẻ được không?,I'll keep an eye on the food.,Tôi sẽ trông chừng đồ ăn.,B2,,,,,Can you _____________ the kids?,I'll _____________ the food.,homograph,từ đồng âm dị nghĩa,turban,khăn quấn đầu,class-conscious,có ý thức về giai cấp,e-reader,máy đọc sách điện tử,stack,"một đống, một lượng lớn",Metaphor: seeing the light
on the ball,ˌɒn ðə ˈbɔːl,phrase,"nhanh nhẹn, nhạy bén, cảnh giác",alert and quick to understand,My assistant is always on the ball.,Trợ lý của tôi luôn nhanh nhẹn.,You need to be on the ball for this job.,Bạn cần phải nhạy bén cho công việc này.,C1,,,,,My assistant is always _____________.,You need to be _____________ for this job.,ludicrous,nực cười,Anglo-Saxon,người Ăng-lô Xắc-xông,guilt-ridden,đầy tội lỗi,incapable,không có khả năng,whatever,bất cứ thứ gì,Metaphor: seeing the light
see the light,ˌsiː ðə ˈlaɪt,phrase,nhận ra sự thật,to realize,I finally saw the light and changed my ways.,Cuối cùng tôi đã nhận ra sự thật và thay đổi cách sống của mình.,He has seen the light.,Anh ấy đã ngộ ra chân lý.,C1,,,,,I finally _____________ and changed my ways.,He has _____________.,distasteful,khó chịu,cot,cũi trẻ em,health-conscious,quan tâm đến sức khỏe,misbehave,cư xử tồi,tongue-tied,líu lưỡi,Metaphor: seeing the light
shed light on,ˌʃed ˈlaɪt ɒn,phrase,làm sáng tỏ,to clarify,The documents shed light on what really happened.,Các tài liệu đã làm sáng tỏ những gì thực sự đã xảy ra.,Her testimony shed light on the case.,Lời khai của cô ấy đã giải thích vụ án.,C1,,,,,The documents _____________ what really happened.,Her testimony _____________ the case.,fatuous,ngu ngốc,lexicon,từ vựng,high-minded,cao thượng,outnumber,đông hơn,bicker,cãi vặt,Metaphor: seeing the light
throw light on,ˌθrəʊ ˈlaɪt ɒn,phrase,làm sáng tỏ,to clarify,The new evidence throws light on the mystery.,Bằng chứng mới đã làm sáng tỏ bí ẩn.,The research throws light on the causes of the disease.,Nghiên cứu giải thích nguyên nhân của căn bệnh.,C1,,,,,The new evidence _____________ the mystery.,The research _____________ the causes of the disease.,rightly,đúng đắn,loanword,từ mượn,idiot-proof,cực kỳ dễ sử dụng,overhang,nhô ra phía trên,butter up,nịnh nọt,Metaphor: seeing the light
trickle,ˈtrɪkl,verb,nhỏ giọt,to flow slowly,Tears trickled down her face.,Nước mắt chảy ròng trên khuôn mặt cô ấy.,The information is trickling out slowly.,Thông tin đang rỉ ra từ từ.,B2,,,,,Tears _____________ down her face.,The information is _____________ out slowly.,swiftly,nhanh lẹ,Norman,thuộc về người Norman,newsworthy,đáng đưa tin,overrated,được đánh giá quá cao,exaggeration,sự phóng đại,Metaphor: seeing the light
