Từ vựng,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
owing to,ˈəʊɪŋ tə,preposition,"do, vì",because of,The game was cancelled owing to the bad weather.,Trận đấu đã bị hủy do thời tiết xấu.,"Owing to the strike, the trains were delayed.","Do cuộc đình công, các chuyến tàu bị chậm trễ.",B2,,,,,The game was cancelled _____________ the bad weather.,"_____________ the strike, the trains were delayed.",unless,trừ khi,so long as,miễn là,meanwhile,"trong lúc đó, trong khi đó",come off,"bong ra, tróc ra",shady,"có bóng râm, bóng mát","Cause, reason, purpose and result"
on the grounds that,ɒn ðə ˈɡraʊndz ðæt,conjunction,với lý do là,because,He was fired on the grounds that he was incompetent.,Anh ấy bị sa thải với lý do là anh ấy không đủ năng lực.,The case was dismissed on the grounds that there was no evidence.,Vụ án bị bác bỏ với lý do là không có bằng chứng.,C1,,,,,He was fired _____________ he was incompetent.,The case was dismissed _____________ there was no evidence.,condition,điều kiện,providing that,"với điều kiện là, miễn là",throughout,"suốt, trong suốt",compromise,"làm tổn hại, gây nguy hiểm",prickly,"có gai, đầy gai","Cause, reason, purpose and result"
give rise to,ˌɡɪv ˈraɪz tə,phrase,"gây ra, đưa đến",to cause something to happen,The new law gave rise to many problems.,Luật mới đã gây ra nhiều vấn đề.,The discovery gave rise to new theories.,Phát hiện đã đưa đến những lý thuyết mới.,C1,,,,,The new law _____________ many problems.,The discovery _____________ new theories.,prerequisite,Điều kiện tiên quyết,on the condition that,với điều kiện là,immediate,"ngay lập tức, tức thì",prior to,trước khi,polished,bóng loáng (do đánh bóng),"Cause, reason, purpose and result"
generate,/ˈdʒenəreɪt/,Verb,"tạo ra, sinh ra","To produce or create something such as power, heat, or ideas",The new turbine generates enough electricity for 500 homes.,Tua bin mới tạo ra đủ điện cho 500 ngôi nhà.,"A fire can generate intense heat, making it very hard for firefighters to approach.","Một đám cháy có thể tạo ra sức nóng dữ dội, khiến các lính cứu hỏa rất khó tiếp cận.",B2,,,,,The new turbine _____________ enough electricity for 500 homes.,"A fire can _____________ intense heat, making it very hard for firefighters to approach.",upshot,"kết cục, kết quả cuối cùng",no matter,"bất kể, dù cho",moment,"khoảnh khắc, chốc lát",in the meantime,"trong lúc chờ đợi, trong khi đó",jagged,"lởm chởm, răng cưa","Cause, reason, purpose and result"
arise,/əˈraɪz/,verb,"phát sinh, nảy sinh",(especially of a problem or a difficult situation) to happen; to start to exist,Problems are bound to arise if we do not plan carefully.,Các vấn đề chắc chắn sẽ phát sinh nếu chúng ta không lên kế hoạch cẩn thận.,"Should the need arise, we can extend the deadline by one week.","Nếu nhu cầu phát sinh, chúng tôi có thể gia hạn thêm một tuần.",B2,,,,,Problems are bound to _____________ if we do not plan carefully.,"Should the need _____________, we can extend the deadline by one week.",as a result,kết quả là,in the event of,nếu xảy ra sự việc,during,"Trong suốt, trong lúc (một khoảng thời gian).",formerly,"trước kia, nguyên là",furry,nhiều lông (thú),"Cause, reason, purpose and result"
aim,/eɪm/,verb,"Nhắm tới, hướng tới, nhắm",to try or plan to achieve something; to point or direct something at somebody/something,Our aim is to finish by Friday. (n) / We aim to finish by Friday. (v),Mục đích của chúng tôi là hoàn thành trước thứ Sáu. (n) / Chúng tôi đặt mục tiêu hoàn thành trước thứ Sáu. (v),My main aim is to finish this project by Friday.,Mục đích chính của tôi là hoàn thành dự án này trước thứ Sáu.,B1,,,,,Our _____________ is to finish by Friday. (n) / We _____________ to finish by Friday. (v),My main _____________ is to finish this project by Friday.,as a consequence,hệ quả là,in case of,trong trường hợp,before,trước (khi),early on,"ngay từ đầu, giai đoạn đầu",dazzling,"chói lòa, làm hoa mắt","Cause, reason, purpose and result"
lead,/liːd/,verb,"dẫn dắt, dẫn đầu",to go with or in front of somebody to show the way or to make them go,The teacher led the children to safety.,Giáo viên dẫn bọn trẻ đến nơi an toàn.,The guide led us through the museum.,Hướng dẫn viên dẫn chúng tôi qua bảo tàng.,B1,,,,,The teacher _____________ the children to safety.,The guide _____________ us through the museum.,consequently,"do đó, vì vậy",as long as,"miễn là, chừng nào mà",minute,Phút,at some point,vào một lúc nào đó,coarse,"thô, nhám (vải/sợi)","Cause, reason, purpose and result"
reason,/ˈriːzn/,noun,lý do,a cause or explanation for something that has happened,The reason for the delay was bad weather.,Lý do cho sự chậm trễ là thời tiết xấu.,She gave no reasons for her decision.,Cô ấy không đưa ra lý do cho quyết định của mình.,A2,,,,,The _____________ for the delay was bad weather.,She gave no _____________ for her decision.,outcome,"kết quả, hậu quả",requirement,"yêu cầu, điều kiện cần",time,Thời gian,subsequently,"sau đó, tiếp theo",dull,"buồn tẻ, chán ngắt, đần độn","Cause, reason, purpose and result"
because,"/bɪˈkɒz/, /bɪˈkɔːz/",conjunction,Bởi vì.,For the reason that; since.,The meeting was rescheduled because the director had a conflict.,Cuộc họp đã được dời lại bởi vì giám đốc có lịch trùng.,We chose this supplier because of their excellent track record.,Chúng tôi chọn nhà cung cấp này bởi vì thành tích hoạt động xuất sắc của họ.,A1,,,,,The meeting was rescheduled _____________ the director had a conflict.,We chose this supplier _____________ of their excellent track record.,consequence,"Hậu quả, kết quả",unless,trừ khi,simultaneously,"đồng thời, cùng một lúc",following,"sau khi, sau (kết quả của)",vivid,"Sống động, rõ ràng","Cause, reason, purpose and result"
since,/sɪns/,"conjunction, preposition, adverb",Kể từ; bởi vì.,From a past time until now; because.,"Since joining the company, she has led three major projects.","Kể từ khi gia nhập công ty, cô ấy đã dẫn dắt ba dự án lớn.","Since the warranty has expired, any repairs will be chargeable.","Vì bảo hành đã hết hạn, bất kỳ việc sửa chữa nào sẽ phải trả phí.",A2,,,,,"_____________ joining the company, she has led three major projects.","_____________ the warranty has expired, any repairs will be chargeable.",purpose,"mục đích, mục tiêu, chức năng",condition,điều kiện,thereafter,"sau đó, kể từ đó",occasion,"Dịp, cơ hội",smooth,"trơn, nhẵn, êm ả, suôn sẻ","Cause, reason, purpose and result"
due to,/ˈdjuː tuː/,preposition,"do, bởi vì",because of or as a result of,The flight was delayed due to bad weather.,Chuyến bay bị hoãn do thời tiết xấu.,The project's success was largely due to their hard work.,Thành công của dự án phần lớn là do sự chăm chỉ của họ.,B1,,,,,The flight was delayed _____________ bad weather.,The project's success was largely _____________ their hard work.,result,kết quả,prerequisite,Điều kiện tiên quyết,under the circumstances,trong hoàn cảnh đó,previously,"trước đây, trước đó",rough,"gồ ghề, thô, phỏng chừng","Cause, reason, purpose and result"
view,/vjuː/,noun,"Tầm nhìn, quan điểm, cảnh",The ability to see something or to be seen from a particular place.,The meeting room has a fantastic view of the harbor.,"Phòng họp có tầm nhìn, quan điểm, cảnh ra bến cảng tuyệt đẹp.","In view of the bad weather, the event is postponed.","Xét thấy thời tiết xấu, sự kiện bị hoãn lại.",A2,,,,,The meeting room has a fantastic _____________ of the harbor.,"In _____________ of the bad weather, the event is postponed.",ensue,Xảy ra sau,upshot,"kết cục, kết quả cuối cùng",supposing,giả sử như,meanwhile,"trong lúc đó, trong khi đó",touch,xúc giác,"Cause, reason, purpose and result"
cause,/kɔːz/,noun,nguyên nhân,the person or thing that makes something happen,The report identified the cause of the accident.,Báo cáo đã xác định được nguyên nhân của vụ tai nạn.,What was the cause of the delay?,Nguyên nhân của sự chậm trễ là gì?,B1,,,,,The report identified the _____________ of the accident.,What was the _____________ of the delay?,result in,"dẫn đến, gây ra",as a result,kết quả là,so long as,miễn là,throughout,"suốt, trong suốt",shiny,"bóng loáng, sáng bóng","Cause, reason, purpose and result"
spark,/spɑːk/,verb,"khơi mào, châm ngòi, kích hoạt","to cause something to start or develop, especially suddenly",The CEO's resignation sparked rumors of a takeover.,Việc từ chức của CEO đã châm ngòi cho những tin đồn về việc tiếp quản.,The new policy sparked a heated debate among employees.,Chính sách mới đã làm dấy lên một cuộc tranh luận sôi nổi giữa các nhân viên.,B2,,,,,The CEO's resignation _____________ rumors of a takeover.,The new policy _____________ a heated debate among employees.,spark off,"gây ra, châm ngòi cho",as a consequence,hệ quả là,providing that,"với điều kiện là, miễn là",immediate,"ngay lập tức, tức thì",bright,"Sáng, chói sáng","Cause, reason, purpose and result"
provoke,/prəˈvəʊk/,Verb,"gây ra, khơi gợi (phản ứng)","to cause a particular reaction, often an angry one",His comments provoked strong criticism.,Nhận xét của anh ấy gây ra nhiều chỉ trích.,His resignation was provoked by disagreement with the new policy.,Việc từ chức của ông ấy bị gây ra bởi sự bất đồng với chính sách mới.,B2,,,,,His comments _____________ strong criticism.,His resignation was _____________ by disagreement with the new policy.,owing to,"do, vì",consequently,"do đó, vì vậy",on the condition that,với điều kiện là,moment,"khoảnh khắc, chốc lát",surface,bề mặt; nổi lên,"Cause, reason, purpose and result"
bring about,/brɪŋ əˈbaʊt/,Phrasal Verb,"mang lại, gây ra",to make something happen,Technology brought about major changes.,Công nghệ mang lại thay đổi lớn.,The new tax laws are expected to bring about significant changes in consumer behavior.,Luật thuế mới dự kiến sẽ mang lại những thay đổi đáng kể trong hành vi của người tiêu dùng.,B2,,,,,Technology _____________ major changes.,The new tax laws are expected to _____________ significant changes in consumer behavior.,on the grounds that,với lý do là,outcome,"kết quả, hậu quả",no matter,"bất kể, dù cho",during,"Trong suốt, trong lúc (một khoảng thời gian).",feel,cảm thấy,"Cause, reason, purpose and result"
stem from,/stem frəm/,Phrasal Verb,"bắt nguồn từ, xuất phát từ",to be the result of something,Their disagreement stemmed from a misunderstanding.,Sự bất đồng của họ bắt nguồn từ một sự hiểu lầm.,Most of her problems stem from her difficult childhood.,Hầu hết các vấn đề của cô ấy xuất phát từ tuổi thơ khó khăn.,B2,,,,,Their disagreement _____________ a misunderstanding.,Most of her problems _____________ her difficult childhood.,give rise to,"gây ra, đưa đến",consequence,"Hậu quả, kết quả",in the event of,nếu xảy ra sự việc,before,trước (khi),sparse,thưa thớt,"Cause, reason, purpose and result"
prompt,/prɒmpt/,verb,"thúc đẩy, khiến cho",to cause someone to do or say something.,The drop in sales prompted an urgent review of our marketing strategy.,Sự sụt giảm doanh số đã thúc đẩy việc xem xét khẩn cấp chiến lược tiếp thị của chúng tôi.,What prompted you to apply for this position?,Điều gì đã khiến bạn nộp đơn xin vị trí này?,B2,,,,,The drop in sales _____________ an urgent review of our marketing strategy.,What _____________ you to apply for this position?,generate,"tạo ra, sinh ra",purpose,"mục đích, mục tiêu, chức năng",in case of,trong trường hợp,minute,Phút,have trouble with,gặp rắc rối với,"Cause, reason, purpose and result"
world of difference,ˌwɜːld əv ˈdɪfrəns,phrase,khác biệt một trời một vực,a very big difference,A good education can make a world of difference.,Một nền giáo dục tốt có thể tạo ra một sự khác biệt lớn.,Adding a little salt makes a world of difference to the taste.,Thêm một chút muối tạo ra sự khác biệt một trời một vực về hương vị.,C1,,,,,A good education can make a _____________.,Adding a little salt makes a _____________ to the taste.,arise,"phát sinh, nảy sinh",result,kết quả,as long as,"miễn là, chừng nào mà",time,Thời gian,hardness,"độ khó, độ cứng",Concession and contrast
poles apart,ˌpəʊlz əˈpɑːt,phrase,khác biệt hoàn toàn,completely different,Their views on politics are poles apart.,Quan điểm của họ về chính trị khác biệt hoàn toàn.,"Although they are twins, they are poles apart in personality.","Mặc dù là sinh đôi, họ khác nhau hoàn toàn về tính cách.",C1,,,,,Their views on politics are _____________.,"Although they are twins, they are _____________ in personality.",aim,"Nhắm tới, hướng tới, nhắm",ensue,Xảy ra sau,requirement,"yêu cầu, điều kiện cần",simultaneously,"đồng thời, cùng một lúc",cope,"đương đầu, đối phó",Concession and contrast
on the other hand,ɒn ði ˈʌðə hænd,adverb,mặt khác,used to introduce a contrasting point,"I like living in the city, but on the other hand, it's expensive.","Tôi thích sống ở thành phố, nhưng mặt khác, nó đắt đỏ.","This dress is nice; on the other hand, the blue one is cheaper.","Chiếc váy này đẹp; mặt khác, cái màu xanh rẻ hơn.",B2,,,,,"I like living in the city, but _____________, it's expensive.","This dress is nice; _____________, the blue one is cheaper.",lead,"dẫn dắt, dẫn đầu",result in,"dẫn đến, gây ra",unless,trừ khi,thereafter,"sau đó, kể từ đó",come to nothing,"không đi đến đâu, thất bại",Concession and contrast
after all,ˌɑːftər ˈɔːl,adverb,"dù sao đi nữa, xét cho cùng",in spite of what was expected,"I thought I was right, but after all, I was wrong.","Tôi nghĩ tôi đã đúng, nhưng xét cho cùng, tôi đã sai.",He decided to come after all.,Dù sao anh ấy cũng quyết định đến.,B2,,,,,"I thought I was right, but _____________, I was wrong.",He decided to come _____________.,reason,lý do,spark off,"gây ra, châm ngòi cho",condition,điều kiện,under the circumstances,trong hoàn cảnh đó,achievable,có thể đạt được,Concession and contrast
admittedly,ədˈmɪtɪdli,adverb,phải thừa nhận là,used when accepting something is true,"Admittedly, the task was more difficult than I expected.","Phải thừa nhận là, nhiệm vụ khó hơn tôi mong đợi.","Admittedly, I haven't been to the gym in a while.","Đúng là, tôi đã không đến phòng tập một thời gian.",C1,,,,,"_____________, the task was more difficult than I expected.","_____________, I haven't been to the gym in a while.",because,Bởi vì.,owing to,"do, vì",prerequisite,Điều kiện tiên quyết,supposing,giả sử như,bother,"Làm phiền, bận tâm",Concession and contrast
nevertheless,/ˌnev.ə.ðəˈles/,adverb,"tuy nhiên, tuy vậy",despite something that you have just mentioned.,"Sales were down this quarter; nevertheless, we exceeded our profit target.","Doanh số quý này giảm; tuy nhiên, chúng tôi đã vượt chỉ tiêu lợi nhuận.","The software has a few minor bugs. Nevertheless, it is ready for the client demo.","Phần mềm có một vài lỗi nhỏ. Tuy vậy, nó đã sẵn sàng cho buổi demo với khách hàng.",B2,,,,,"Sales were down this quarter; _____________, we exceeded our profit target.","The software has a few minor bugs. _____________, it is ready for the client demo.",since,Kể từ; bởi vì.,on the grounds that,với lý do là,upshot,"kết cục, kết quả cuối cùng",so long as,miễn là,difficulty,"khó khăn, trở ngại",Concession and contrast
acknowledge,/əkˈnɒlɪdʒ/,verb,thừa nhận,to accept that something is true,They did not acknowledge my letter.,Họ đã không báo đã nhận được thư của tôi.,Please acknowledge receipt of this email.,Vui lòng xác nhận đã nhận được email này.,B2,,,,,They did not _____________ my letter.,Please _____________ receipt of this email.,due to,"do, bởi vì",give rise to,"gây ra, đưa đến",as a result,kết quả là,providing that,"với điều kiện là, miễn là",difficult,khó khăn,Concession and contrast
admit,/ədˈmɪt/,verb,"Thừa nhận, cho vào","to agree, often unwillingly, that something is true; to allow somebody/something to enter a place",He admitted his mistake in the report.,Anh ấy thừa nhận sai lầm của mình trong báo cáo.,The company admits that there was a delay.,Công ty thừa nhận rằng đã có một sự chậm trễ.,B1,,,,,He _____________ his mistake in the report.,The company _____________ that there was a delay.,view,"Tầm nhìn, quan điểm, cảnh",generate,"tạo ra, sinh ra",as a consequence,hệ quả là,on the condition that,với điều kiện là,attainment,"Sự đạt được, thành tựu",Concession and contrast
contrast,/kənˈtrɑːst/,verb,"Tương phản, đối chiếu",to compare two things in order to show the differences between them; to show a clear difference when close together or when compared,There is a sharp contrast between the two proposals.,Có một sự tương phản rõ rệt giữa hai đề xuất.,The article drew a sharp contrast between the lives of the rich elite and the city's impoverished population.,Bài báo đã vẽ nên một sự tương phản rõ rệt giữa cuộc sống của giới thượng lưu giàu có và dân số nghèo khổ của thành phố.,B1,,,,,There is a sharp _____________ between the two proposals.,The article drew a sharp _____________ between the lives of the rich elite and the city's impoverished population.,cause,nguyên nhân,arise,"phát sinh, nảy sinh",consequently,"do đó, vì vậy",no matter,"bất kể, dù cho",fulfilling,làm thỏa mãn,Concession and contrast
quite,/kwaɪt/,adverb,"khá, hoàn toàn",to a certain or fairly significant extent or degree,The results are quite good.,Kết quả khá tốt.,It is quite expensive.,Nó khá đắt.,A1,,,,,The results are _____________ good.,It is _____________ expensive.,spark,"khơi mào, châm ngòi, kích hoạt",aim,"Nhắm tới, hướng tới, nhắm",outcome,"kết quả, hậu quả",in the event of,nếu xảy ra sự việc,attainable,có thể đạt được,Concession and contrast
although,/ɔːlˈðəʊ/,conjunction,"Mặc dù, tuy nhiên.",In spite of the fact that; however.,"Although the budget was limited, the campaign was successful.","Mặc dù ngân sách có hạn, chiến dịch vẫn thành công.","Although he is new to the team, his contributions are valuable.","Mặc dù anh ấy mới trong nhóm, những đóng góp của anh ấy rất có giá trị.",B1,,,,,"_____________ the budget was limited, the campaign was successful.","_____________ he is new to the team, his contributions are valuable.",provoke,"gây ra, khơi gợi (phản ứng)",lead,"dẫn dắt, dẫn đầu",consequence,"Hậu quả, kết quả",in case of,trong trường hợp,successful,Thành công,Concession and contrast
on the contrary,/ɒn ðə ˈkɒntrəri/,prepositional phrase,ngược lại,used to introduce a statement that says the opposite of what has just been said,"The test was not difficult; on the contrary, it was extremely easy.","Bài kiểm tra không khó; ngược lại, nó cực kỳ dễ.","The new policy did not hinder productivity; on the contrary, it improved efficiency.","Chính sách mới không cản trở năng suất; ngược lại, nó đã cải thiện hiệu quả.",B2,,,,,"The test was not difficult; _____________, it was extremely easy.","The new policy did not hinder productivity; _____________, it improved efficiency.",bring about,"mang lại, gây ra",reason,lý do,purpose,"mục đích, mục tiêu, chức năng",as long as,"miễn là, chừng nào mà",successfully,Một cách thành công,Concession and contrast
accept,/əkˈsept/,verb,"Chấp nhận, đồng ý (nhận)","to take willingly something that is offered; to say yes to an offer, invitation, etc.",The store does not accept credit cards.,Cửa hàng không chấp nhận thẻ tín dụng.,The software accepts various file formats.,Phần mềm chấp nhận nhiều định dạng tệp khác nhau.,A2,,,,,The store does not _____________ credit cards.,The software _____________ various file formats.,stem from,"bắt nguồn từ, xuất phát từ",because,Bởi vì.,result,kết quả,requirement,"yêu cầu, điều kiện cần",considerable,"Đáng kể, lớn lao",Concession and contrast
opposite,/ˈɒpəzɪt/,adjective,đối diện,on the other side of a particular area from somebody/something and usually facing them,She sat down opposite him.,Cô ấy ngồi xuống đối diện anh ta.,The bank is located directly opposite the post office.,Ngân hàng nằm ngay đối diện bưu điện.,A2,,,,,She sat down _____________ him.,The bank is located directly _____________ the post office.,prompt,"thúc đẩy, khiến cho",since,Kể từ; bởi vì.,ensue,Xảy ra sau,unless,trừ khi,achievement,"thành tích, thành tựu",Concession and contrast
concede,/kənˈsiːd/,Verb,"thừa nhận, nhượng bộ","to admit that something is true or correct, although you wish it were not true; to give something away, especially unwillingly",He was forced to concede that he might have made a mistake.,Anh ấy buộc phải thừa nhận rằng mình có thể đã phạm sai lầm.,The company conceded a 5% pay rise to the workers.,Công ty đã chấp nhận tăng lương 5% cho công nhân.,B2,,,,,He was forced to _____________ that he might have made a mistake.,The company _____________ a 5% pay rise to the workers.,world of difference,khác biệt một trời một vực,due to,"do, bởi vì",result in,"dẫn đến, gây ra",condition,điều kiện,hard,cứng,Concession and contrast
reverse,/rɪˈvɜːs/,verb,"đảo ngược, thay đổi hoàn toàn (quyết định)","to change a previous decision, law, etc. to the opposite one",The company reversed its decision to outsource customer service.,Công ty đã đảo ngược quyết định thuê ngoài dịch vụ khách hàng.,It is difficult to reverse a trend once it has started.,Thật khó để đảo ngược một xu hướng một khi nó đã bắt đầu.,B2,,,,,The company _____________ its decision to outsource customer service.,It is difficult to _____________ a trend once it has started.,poles apart,khác biệt hoàn toàn,view,"Tầm nhìn, quan điểm, cảnh",spark off,"gây ra, châm ngòi cho",prerequisite,Điều kiện tiên quyết,find,"tìm thấy, thấy, nhận thấy",Concession and contrast
what is more,ˌwɒt ɪz ˈmɔː(r),adverb,"thêm vào đó, quan trọng hơn là",in addition,"He is rich; what is more, he is generous.","Anh ấy giàu; quan trọng hơn là, anh ấy rộng lượng.","I'm tired; what is more, I'm hungry.","Tôi mệt; thêm vào đó, tôi đói.",B2,,,,,"He is rich; _____________, he is generous.","I'm tired; _____________, I'm hungry.",on the other hand,mặt khác,cause,nguyên nhân,owing to,"do, vì",upshot,"kết cục, kết quả cuối cùng",attain,đạt được,Addition
together with,təˌɡeðə ˈwɪð,preposition,"cùng với, cộng với",in addition to,"The luggage, together with the documents, was lost.","Hành lý, cùng với các tài liệu, đã bị mất.","The president, together with his advisors, met the press.","Tổng thống, cùng với các cố vấn của ông, đã gặp báo chí.",B2,,,,,"The luggage, _____________ the documents, was lost.","The president, _____________ his advisors, met the press.",after all,"dù sao đi nữa, xét cho cùng",spark,"khơi mào, châm ngòi, kích hoạt",on the grounds that,với lý do là,as a result,kết quả là,accomplishment,thành tựu,Addition
to boot,tə ˈbuːt,adverb,"thêm vào đó, vả lại",in addition,"He was late, and to make matters worse, he forgot his wallet to boot.","Anh ấy đến muộn, và tệ hơn nữa, anh ấy còn quên ví vả lại.","The house is big and, to boot, has a swimming pool.","Ngôi nhà rộng và, thêm vào đó, có hồ bơi.",C1,,,,,"He was late, and to make matters worse, he forgot his wallet _____________.","The house is big and, _____________, has a swimming pool.",admittedly,phải thừa nhận là,provoke,"gây ra, khơi gợi (phản ứng)",give rise to,"gây ra, đưa đến",as a consequence,hệ quả là,accomplished,"tài giỏi, cừ khôi",Addition
moreover,mɔːrˈəʊvə(r),adverb,hơn thế nữa,in addition,"The house is beautiful; moreover, it's in a great location.","Ngôi nhà đẹp; hơn thế nữa, nó ở vị trí tuyệt vời.","She is a talented artist; moreover, she is also a great teacher.","Cô ấy là một nghệ sĩ tài năng; hơn thế nữa, cô ấy cũng là một giáo viên tuyệt vời.",B2,,,,,"The house is beautiful; _____________, it's in a great location.","She is a talented artist; _____________, she is also a great teacher.",nevertheless,"tuy nhiên, tuy vậy",bring about,"mang lại, gây ra",generate,"tạo ra, sinh ra",consequently,"do đó, vì vậy",go under,"phá sản, sụp đổ",Addition
in addition,ɪn əˈdɪʃn,adverb,"ngoài ra, thêm vào đó",as well as,"In addition to his salary, he gets a bonus.","Ngoài ra lương, anh ấy còn nhận được tiền thưởng.","We need to buy food; in addition, we need drinks.","Chúng tôi cần mua đồ ăn; thêm vào đó, chúng tôi cần đồ uống.",B2,,,,,"_____________ to his salary, he gets a bonus.","We need to buy food; _____________, we need drinks.",acknowledge,thừa nhận,stem from,"bắt nguồn từ, xuất phát từ",arise,"phát sinh, nảy sinh",outcome,"kết quả, hậu quả",falter,"dao động, nản chí",Addition
besides,bɪˈsaɪdz,adverb,"ngoài ra, vả lại",in addition,"I don't want to go; besides, I'm tired.","Tôi không muốn đi; ngoài ra, tôi mệt.","Besides the salary, the job offers good benefits.","Ngoài lương, công việc còn có nhiều phúc lợi tốt.",B2,,,,,"I don't want to go; _____________, I'm tired.","_____________ the salary, the job offers good benefits.",admit,"Thừa nhận, cho vào",prompt,"thúc đẩy, khiến cho",aim,"Nhắm tới, hướng tới, nhắm",consequence,"Hậu quả, kết quả",backfire,phản tác dụng,Addition
as well,əz ˈwel,adverb,"cũng vậy, cũng thế",in addition,I can sing as well.,Tôi cũng có thể hát.,She plays the guitar as well.,Cô ấy cũng chơi guitar.,A2,,,,,I can sing _____________.,She plays the guitar _____________.,contrast,"Tương phản, đối chiếu",world of difference,khác biệt một trời một vực,lead,"dẫn dắt, dẫn đầu",purpose,"mục đích, mục tiêu, chức năng",fulfill,"Hoàn thành, đáp ứng, thực hiện",Addition
and so on,ənd ˌsəʊ ˈɒn,adverb,vân vân,and more of the same kind,"The report covers topics like economy, education, and so on.","Báo cáo bao gồm các chủ đề như kinh tế, giáo dục, vân vân.","You can buy fruits like apples, oranges, and so on.","Bạn có thể mua các loại trái cây như táo, cam, v.v.",B1,,,,,"The report covers topics like economy, education, _____________.","You can buy fruits like apples, oranges, _____________.",quite,"khá, hoàn toàn",poles apart,khác biệt hoàn toàn,reason,lý do,result,kết quả,aim,"Nhắm tới, hướng tới, nhắm",Addition
and so forth,ənd ˌsəʊ ˈfɔːθ,adverb,vân vân và vân vân,and more of the same kind,"She discussed politics, science, and so forth.","Cô ấy đã thảo luận về chính trị, khoa học, vân vân và vân vân.","The shop sells pens, notebooks, and so forth.","Cửa hàng bán bút, sổ tay, v.v.",B1,,,,,"She discussed politics, science, _____________.","The shop sells pens, notebooks, _____________.",although,"Mặc dù, tuy nhiên.",on the other hand,mặt khác,because,Bởi vì.,ensue,Xảy ra sau,success,sự thành công,Addition
along with,əˌlɒŋ ˈwɪð,preposition,cùng với,together with,She went to the party along with her sister.,Cô ấy đã đến bữa tiệc cùng với em gái mình.,The package includes the book along with a CD.,Gói hàng bao gồm cuốn sách cùng với một đĩa CD.,B2,,,,,She went to the party _____________ her sister.,The package includes the book _____________ a CD.,on the contrary,ngược lại,after all,"dù sao đi nữa, xét cho cùng",since,Kể từ; bởi vì.,result in,"dẫn đến, gây ra",accomplish,"hoàn thành, đạt được",Addition
alongside,/əˌlɒŋˈsaɪd/,adverb,"cùng với, bên cạnh",next to or together with.,The new intern will be working alongside our senior developer.,Thực tập sinh mới sẽ làm việc cùng với lập trình viên cao cấp của chúng tôi.,We need to use traditional marketing alongside social media.,Chúng ta cần sử dụng tiếp thị truyền thống cùng với mạng xã hội.,B2,,,,,The new intern will be working _____________ our senior developer.,We need to use traditional marketing _____________ social media.,accept,"Chấp nhận, đồng ý (nhận)",admittedly,phải thừa nhận là,due to,"do, bởi vì",spark off,"gây ra, châm ngòi cho",manage,"quản lý, điều hành",Addition
likewise,ˈlaɪkwaɪz,adverb,Tương tự như vậy,The same,The new software is faster and likewise more efficient.,Phần mềm mới nhanh hơn và tương tự như vậy cũng hiệu quả hơn.,It was a pleasure to meet you. Likewise.,Rất vui được gặp bạn. Tôi cũng vậy.,,,,,,The new software is faster and _____________ more efficient.,It was a pleasure to meet you. _____________.,opposite,đối diện,nevertheless,"tuy nhiên, tuy vậy",view,"Tầm nhìn, quan điểm, cảnh",owing to,"do, vì",agreement,"thỏa thuận, hợp đồng",Addition
furthermore,/ˌfɜːðəˈmɔː(r)/,Adverb,"Hơn nữa, thêm vào đó.",In addition to what has just been stated. Used to introduce a fresh consideration in an argument.,"The plan is cost-effective. Furthermore, it is easy to implement.","Kế hoạch này tiết kiệm chi phí. Hơn nữa, nó dễ thực hiện.","He is not qualified for the job. Furthermore, he has no relevant experience.","Anh ấy không đủ tiêu chuẩn cho công việc. Hơn nữa, anh ấy không có kinh nghiệm liên quan.",B2,,,,,"The plan is cost-effective. _____________, it is easy to implement.","He is not qualified for the job. _____________, he has no relevant experience.",concede,"thừa nhận, nhượng bộ",acknowledge,thừa nhận,cause,nguyên nhân,on the grounds that,với lý do là,dream,Giấc mơ,Addition
further,/ˈfɜːðə(r)/,adverb,xa hơn (về thời gian),at or to a greater distance in time,The appointment has been moved further back.,Cuộc hẹn đã được dời xa hơn.,We cannot delay the project any further.,Chúng ta không thể trì hoãn dự án thêm nữa.,B1,,,,,The appointment has been moved _____________ back.,We cannot delay the project any _____________.,reverse,"đảo ngược, thay đổi hoàn toàn (quyết định)",admit,"Thừa nhận, cho vào",spark,"khơi mào, châm ngòi, kích hoạt",give rise to,"gây ra, đưa đến",goal,"khung thành, bàn thắng, mục tiêu",Addition
